Sound Sink 1.0 Analysis File
D:\Users\Robin\Music\Lapfox trax - WI-FI bridge.wav - Name of original audio file
16 bit, mono, 44100Hz sampling rate - Temp File Info
256 - Power of 2 for FFT processing
7000 - Hi frequency cutoff
Hamming - FFT Window

-----------------
-Analysis Frames-
freq:1033,594 val:57,646 
freq:1205,859 val:8,836 
freq:1378,125 val:14,638 
freq:1550,391 val:2,849 
freq:1722,656 val:18,405 
freq:1894,922 val:12,975 
freq:2067,188 val:24,719 
freq:2239,453 val:32,354 
freq:2411,719 val:67,236 
freq:2583,984 val:53,876 
freq:2756,250 val:8,236 
freq:2928,516 val:10,881 
freq:3100,781 val:14,192 
freq:3273,047 val:33,547 
freq:3445,312 val:29,431 
freq:3617,578 val:8,035 
freq:3789,844 val:26,356 
freq:3962,109 val:30,968 
freq:4134,375 val:9,846 
freq:4306,641 val:5,361 
freq:4478,906 val:1,253 
freq:4651,172 val:9,213 
freq:4823,438 val:11,817 
freq:4995,703 val:3,179 
freq:5167,969 val:16,556 
freq:5340,234 val:15,524 
freq:5512,500 val:5,595 
freq:5684,766 val:8,312 
freq:5857,031 val:14,687 
freq:6029,297 val:10,518 
freq:6201,562 val:2,395 
freq:6373,828 val:9,377 
freq:6546,094 val:10,352 
freq:6718,359 val:2,345 
freq:6890,625 val:3,136 


	Frame 10:
Maxvol: 3010	Time: 0,453
freq:0,000 val:23,840 
freq:172,266 val:100,000 
freq:344,531 val:76,785 
freq:516,797 val:66,183 
freq:689,062 val:51,433 
freq:861,328 val:1,988 
freq:1033,594 val:13,124 
freq:1205,859 val:12,393 
freq:1378,125 val:4,022 
freq:1550,391 val:26,256 
freq:1722,656 val:18,856 
freq:1894,922 val:7,455 
freq:2067,188 val:15,900 
freq:2239,453 val:10,496 
freq:2411,719 val:1,103 
freq:2583,984 val:8,674 
freq:2756,250 val:6,464 
freq:2928,516 val:16,978 
freq:3100,781 val:36,632 
freq:3273,047 val:37,352 
freq:3445,312 val:16,255 
freq:3617,578 val:5,893 
freq:3789,844 val:14,545 
freq:3962,109 val:1,802 
freq:4134,375 val:11,676 
freq:4306,641 val:14,106 
freq:4478,906 val:7,031 
freq:4651,172 val:9,625 
freq:4823,438 val:1,045 
freq:4995,703 val:7,888 
freq:5167,969 val:16,992 
freq:5340,234 val:8,470 
freq:5512,500 val:8,401 
freq:5684,766 val:0,577 
freq:5857,031 val:6,200 
freq:6029,297 val:2,868 
freq:6201,562 val:5,375 
freq:6373,828 val:0,168 
freq:6546,094 val:6,851 
freq:6718,359 val:5,875 
freq:6890,625 val:2,590 


	Frame 11:
Maxvol: 4121	Time: 0,503
freq:0,000 val:27,334 
freq:172,266 val:100,000 
freq:344,531 val:62,606 
freq:516,797 val:82,289 
freq:689,062 val:70,061 
freq:861,328 val:44,124 
freq:1033,594 val:74,723 
freq:1205,859 val:51,440 
freq:1378,125 val:10,983 
freq:1550,391 val:44,045 
freq:1722,656 val:24,791 
freq:1894,922 val:28,939 
freq:2067,188 val:65,087 
freq:2239,453 val:24,923 
freq:2411,719 val:19,640 
freq:2583,984 val:31,279 
freq:2756,250 val:24,237 
freq:2928,516 val:28,664 
freq:3100,781 val:40,980 
freq:3273,047 val:11,134 
freq:3445,312 val:18,274 
freq:3617,578 val:3,748 
freq:3789,844 val:0,458 
freq:3962,109 val:24,520 
freq:4134,375 val:30,719 
freq:4306,641 val:17,938 
freq:4478,906 val:4,957 
freq:4651,172 val:1,025 
freq:4823,438 val:9,687 
freq:4995,703 val:1,505 
freq:5167,969 val:21,434 
freq:5340,234 val:17,551 
freq:5512,500 val:1,911 
freq:5684,766 val:7,672 
freq:5857,031 val:11,120 
freq:6029,297 val:7,185 
freq:6201,562 val:10,100 
freq:6373,828 val:11,000 
